year,mean,unc

1984,1644.85,0.68
1985,1657.29,0.67
1986,1670.09,0.82
1987,1682.70,0.48
1988,1693.15,0.66
1989,1704.53,0.54
1990,1714.43,0.69
1991,1724.82,0.72
1992,1735.48,0.60
1993,1736.50,0.44
1994,1742.07,0.63
1995,1748.88,0.47
1996,1751.28,0.63
1997,1754.53,0.36
1998,1765.54,0.58
1999,1772.34,0.54
2000,1773.33,0.63
2001,1771.21,0.53
2002,1772.66,0.55
2003,1777.33,0.52
2004,1777.05,0.46
2005,1774.16,0.55
2006,1774.95,0.48
2007,1781.37,0.60
2008,1787.01,0.61
2009,1793.53,0.65
2010,1798.93,0.63
2011,1803.14,0.60
2012,1808.12,0.50
2013,1813.41,0.66
2014,1822.57,0.51
2015,1834.26,0.53
2016,1843.12,0.55
2017,1849.58,0.59
2018,1857.33,0.86
2019,1866.58,0.62
2020,1878.93,0.59
2021,1895.28,0.61
2022,1911.82,0.59
