date,housing,unemployment,median_days,price_increased,price_decreased,pending_listing,median_price
7/1/2016,9379,5.2,36,376,1688,5,319900
8/1/2016,9475,5,39,402,1726,5,319900
9/1/2016,9344,4.9,41,276,1764,7,324900
10/1/2016,8963,4.7,42,288,1704,5,329900
11/1/2016,8386,4.5,44,346,1510,5,337700
12/1/2016,8137,4.5,50,272,828,5,337900
1/1/2017,7523,5,55,382,966,5,339900
2/1/2017,7642,4.6,42,420,1072,6,347388
3/1/2017,7898,4.1,37,444,1276,8,351423
4/1/2017,8222,3.4,37,380,1476,7,357900
5/1/2017,6076,3.2,32,368,1728,2761,389900
6/1/2017,6227,4.1,36,384,1866,2711,389900
7/1/2017,6449,3.9,36,316,2032,2546,387900
8/1/2017,6558,3.6,37,342,2054,2439,388950
9/1/2017,6725,3.2,39,396,2116,2326,389000
10/1/2017,6891,3.3,39,280,2156,2231,384150
11/1/2017,6870,3.2,39,310,2034,2161,379984
12/1/2017,6459,3.2,45,276,1276,1893,383328
1/1/2018,5900,3.8,51,340,1088,1751,383900
2/1/2018,5919,3.6,39,398,1428,2037,381920
3/1/2018,5935,3.5,36,412,1480,2272,385000
4/1/2018,6329,3.1,33,442,1860,2471,388248
5/1/2018,6843,3.1,33,352,2060,2562,385000
6/1/2018,7345,4.1,34,424,2496,2598,379900
7/1/2018,7915,3.9,36,344,2858,2476,373968
8/1/2018,8142,3.6,37,384,2978,2451,369450
9/1/2018,8784,3.4,38,360,3088,2397,365000
10/1/2018,9144,3.4,42,286,3352,2293,359888
11/1/2018,9078,3.1,43,248,2848,2155,354900
12/1/2018,8460,3.2,50,208,1768,1827,355900
1/1/2019,7999,3.8,54,358,1974,1912,356678
2/1/2019,7775,3.4,44,324,1966,2290,359900
3/1/2019,7574,3.5,39,292,2216,2594,364237
4/1/2019,7506,2.9,34,332,2412,2866,369945
5/1/2019,7778,3.1,33,366,2466,3130,374700
6/1/2019,7786,3.8,36,316,2592,2982,377995
7/1/2019,7885,3.7,37,338,2752,2785,375000
8/1/2019,7846,3.3,37,328,2692,2717,373636
9/1/2019,7782,3.1,37,296,2606,2596,371591
10/1/2019,7813,3.3,37,270,2650,2496,369950
11/1/2019,7679,3.1,40,260,2284,2382,369900
12/1/2019,7087,3.2,46,258,1384,2106,367487
1/1/2020,6379,3.7,48,348,1438,1978,366450
2/1/2020,5922,3.4,36,524,1436,2422,369900
3/1/2020,5827,3.9,33,480,1384,2628,379601
4/1/2020,6559,15,35,320,1482,2432,376215
5/1/2020,6557,11.8,36,456,1720,2894,385000
6/1/2020,6092,10.8,33,582,1910,3478,392198
7/1/2020,6087,10.1,31,558,1826,3938,391995
8/1/2020,5345,7.8,31,712,1616,3547,394990
9/1/2020,4812,6.9,31,622,1342,3302,399900
10/1/2020,4532,6,30,536,1348,3019,399900
11/1/2020,4184,5.4,31,378,1216,2809,398225
12/1/2020,3708,5.4,36,536,832,2509,394950
1/1/2021,3149,5.6,34,596,600,2261,392908
2/1/2021,2504,5.3,25,498,390,2469,397400
3/1/2021,2214,5.2,18,548,422,2368,399900
4/1/2021,2049,4.7,16,352,382,2498,411943
5/1/2021,1994,4.6,11,244,428,2502,415000
6/1/2021,2131,5.6,12,184,578,2402,428250
7/1/2021,2557,4.9,15,164,988,2391,449000
8/1/2021,2663,4.4,16,222,986,2398,442175
9/1/2021,2809,3.8,19,232,984,2367,447373
10/1/2021,2874,3.5,19,236,916,2414,456900
11/1/2021,2558,3.2,22,188,764,2424,459945
12/1/2021,2035,3.1,28,166,500,2174,459950
1/1/2022,1622,3.7,26,180,332,1848,459445
2/1/2022,1519,3.5,14,224,292,1900,475500
3/1/2022,1597,3.2,11,162,366,1937,499900
4/1/2022,1965,3.1,10,140,584,2016,525000
5/1/2022,2689,3.2,12,178,1156,2156,549900
6/1/2022,3932,4,15,124,1942,2250,562450
